row,h_ra,h_dec,petroR50_r,expRad_r,deVRad_r,fracDeV_r,modelMag_r
713,171.409918319886,7.33439006621393,5.145501,3.694166,8.7757,0.779958,15.70992
714,19.1824345270057,0.794563159226376,0.6783403,0.3789632,0.2631106,0.0,21.25174
715,19.1824345270057,0.794563159226376,0.6783403,0.3789632,0.2631106,0.0,21.25174
716,,,,,,,
717,17.102286041591,21.151775266054,2.145791,1.953213,3.646241,0.2125676,17.15417
720,179.957522629943,54.8019871812293,1.533061,1.669566,3.297812,0.05839024,19.20676
721,31.6140072525404,-0.89924132613923,0.695915,0.518768,0.4960203,0.0,21.16599
722,31.6140072525404,-0.89924132613923,0.695915,0.518768,0.4960203,0.0,21.16599
723,353.59919134265,-0.683583479664637,1.975618,1.992047,4.304055,0.4603609,18.38319
724,,,,,,,
725,9.42374627146455,1.7630875534301,0.8747889,0.9639599,1.369108,0.0,21.65102
726,131.469587140606,43.8182975695851,1.417293,1.783246,2.674181,0.0,19.68662
727,,,,,,,
728,351.667270493101,-0.840619670488611,2.022617,2.137984,4.269044,0.2924224,17.71182
729,213.237018352291,52.7435813583659,3.344439,4.684829,9.830021,0.1334061,17.10427
730,26.7930510122115,-0.146864685294764,1.406338,1.233229,2.124597,0.3614777,18.4894
731,5.40787781606451,-1.01061786113575,2.641942,2.210253,3.19247,1.0,16.42801
732,354.058240659476,23.6958257702894,3.838137,4.703612,14.93259,0.0,16.89517
733,,,,,,,
734,28.8875658827384,33.8226039003102,1.760486,1.78774,3.242866,0.0,19.57171
735,337.671470399548,-0.77623905017983,2.051812,2.078516,4.311193,0.588175,17.75581
736,130.236984910871,44.5242711297619,1.856523,2.225199,4.107359,0.0,17.74393
737,130.349618797714,43.0537236592113,0.7530443,0.4264996,0.3011971,0.0,21.30115
738,351.710530719141,-0.730526827498962,2.686794,2.932899,8.766717,0.1297231,18.35207
739,126.107001287788,24.997654566502,1.306638,1.332029,2.124378,0.0,20.42667
740,150.857640771909,1.02870397914758,1.850727,2.655395,5.305785,0.1340369,18.20131
741,214.661082993453,54.18189679599,3.426021,3.43906,7.96062,0.4170191,17.29646
743,183.737584677696,46.8446122921503,2.099875,2.24448,4.880527,0.0,17.69829
745,4.17134250324364,-0.425819865756088,0.4699275,0.1514809,0.0893791,0.0,22.24846
746,358.586263271178,-0.917233628526592,2.859126,4.009014,7.591834,0.5406519,16.70482
747,347.832333162551,0.503529159774347,0.8999652,0.7805487,0.8878293,0.7290029,22.31273
748,11.2242102067583,-0.996851111745117,1.7762,2.046587,3.957698,0.5315827,17.77558
749,5.68315764495662,-0.479387911277774,2.91387,3.592132,8.652206,0.0,17.12231
750,329.267460528208,-0.223456912656747,0.89689,0.7600889,0.9190764,0.3517086,19.12006
751,,,,,,,
752,28.142357176596,1.24413377240114,2.270181,1.972031,4.510869,0.7730136,17.12676
753,150.193925792949,2.55126073099679,2.815493,4.438738,10.46248,0.09892476,17.70131
754,350.018524620108,-0.0556015332432784,1.277372,0.7671105,1.053681,1.0,18.12099
755,186.337729993634,46.0148062032009,1.517524,1.090218,2.292689,0.6958541,20.14853
756,328.447231853152,0.0150344359148482,0.8192442,0.6759648,0.7721873,0.0,20.81361
757,12.2880200749628,0.596611970618608,2.302387,2.250959,4.106434,0.6965899,16.88303
758,,,,,,,
761,352.02941281915,0.854700874851342,6.718115,7.271617,23.59437,1.0,19.68326
762,349.373744327356,0.429687086273197,1.42113,1.579616,2.380333,0.4830177,17.55393
763,161.15915110073,57.8110668321233,1.492436,1.029257,1.440503,1.0,17.398
764,3.24993867168973,0.248559235540729,0.7023044,0.5559461,0.6313755,0.0,21.40354
765,323.694965367859,1.17540944974728,2.001454,2.563095,5.393944,0.1848087,18.32589
766,131.448940398403,44.4205998473425,1.603932,1.677511,3.095198,0.1141762,19.74694
767,332.930317712834,0.579332396353113,2.5177,2.55325,7.082601,0.1223538,19.03875
768,,,,,,,
769,53.6853872523802,0.355504122937114,1.742404,1.250402,2.13084,0.9889715,17.89386
770,,,,,,,
771,13.8438503771109,-0.389217574663263,2.023535,2.040116,4.998672,0.2338618,18.61134
772,1.69061106019473,-0.0367694187624826,1.027056,0.5271766,0.6303904,1.0,20.84644
773,353.101809890447,0.295478869204717,0.7832894,0.5259663,0.5497253,1.0,20.9645
774,46.0885711131988,-1.06310219592949,2.462741,3.462429,8.182397,0.05384605,17.9929
775,357.908385723045,0.279841647862088,0.5850493,0.1906732,0.172393,1.0,21.57281
776,332.543025828231,0.503936830386829,2.363997,2.054252,5.177309,0.4044058,18.67429
777,340.701448833148,-0.90177471537786,0.9070818,0.5814602,0.7082191,0.281476,20.36322
778,55.4972796780147,-0.782921144677801,1.959635,1.981597,4.809694,0.1108892,18.78974
779,341.245051871181,-1.00638339153487,2.049667,1.941023,3.813964,0.434275,17.57391
780,329.198502451934,0.317046848738763,1.623168,2.312669,4.482181,0.0,19.06737
781,54.2769479742913,0.00925589400199816,0.7726939,0.5259249,0.5838752,0.7760552,20.56779
782,48.6338083430928,0.268898682368049,1.899237,2.061643,5.115448,0.0,18.54737
783,29.9637020686952,1.21659648417413,1.77069,1.178604,1.736968,1.0,16.96799
784,46.7959160182427,1.11997986845054,1.171412,0.8904603,1.198071,0.8128148,18.29688
785,11.6343617535517,0.838162578876093,1.666438,2.053341,4.107901,0.0,18.17933
786,337.477514386989,1.05846859593887,1.295916,1.235955,1.650501,0.9624771,17.63999
787,50.8806155239558,0.667266232514525,1.485294,1.56214,2.185683,1.0,17.24044
788,,,,,,,
789,41.7340624037402,-0.690622915429823,1.039199,0.7589088,0.9785385,0.5354049,18.76993
790,27.1694726892834,-0.575758137910975,2.618645,3.497664,8.530789,0.06305266,18.88136
791,53.5947035898823,-1.12302298889311,0.7600291,0.8332257,0.7939078,0.7238259,22.25863
792,16.9580436147802,0.828586316303397,1.940177,2.028629,4.202521,0.0,18.17932
793,35.8788301388731,-4.63630103449342,1.949958,1.968625,4.394288,0.0,18.19942
794,30.6364823711166,-1.08994943466375,2.277479,2.635989,5.315776,0.1683643,17.01552
795,318.956164725657,0.651219250331201,1.064312,1.004307,1.403811,0.6768738,19.14308
796,338.98365764872,0.609080824001937,1.090011,1.357598,2.263808,0.5383564,20.87671
797,333.431742234288,0.396294737887203,0.734224,0.5077738,0.6228592,0.0,20.71815
798,,,,,,,
799,304.792261231162,-1.06430343206873,0.7360876,1.764452,2.412495,0.0,21.78208
800,334.134987920219,0.473427000719232,2.016877,2.336713,4.769255,0.3296894,18.57655
801,,,,,,,
802,305.008703308981,-0.974646415285064,1.829571,1.228768,1.995596,1.0,17.58108
803,333.937852779395,0.422842375950087,1.593637,0.8535043,1.523019,1.0,18.20568
805,317.83695450145,-0.445390124416778,1.565385,1.986349,4.691245,0.3847177,20.37619
806,1.49175083251532,1.10315101783779,0.6267508,0.3807922,0.6432208,0.8598881,22.30295
807,35.8791751646598,-2.86062672042221,1.89975,1.632756,3.870391,0.103687,18.42619
808,36.7710379770269,-5.00243974008027,1.332796,1.189468,1.822508,0.3738875,19.10749
809,52.7040279268078,-1.23761335679197,1.648822,1.555901,3.267415,0.1385111,18.99708
810,313.10366910638,0.277314751151391,1.683236,2.699197,4.893587,0.0,19.7043
811,333.966981233786,-0.82553435400256,1.474025,1.900062,3.295629,0.5602116,18.81889
812,37.1365006159688,-1.0428265191239,2.331186,2.640581,6.374267,0.08155208,18.03093
813,325.001988059912,-0.00806772782087328,1.605529,1.313149,2.595669,0.5205793,18.66766
814,309.202544846873,0.0985091185480451,1.227956,0.8451331,1.186664,0.8434387,17.74139
815,36.2553154152404,-6.27866658909823,1.249192,1.057661,1.660675,0.5191059,18.96744
