RAJ2000,DEJ2000,Ktmag,cz
185.38660,14.60607,8.453,1124
193.37155,2.16833,8.348,1040
227.97354,-72.85941,8.375,3025
209.06944,47.23562,8.352,1793
78.01389,-15.68780,8.362,2029
54.13202,-35.29519,8.418,1729
189.13626,11.25787,8.291,2271
132.34122,19.07496,8.344,4343
17.74534,33.15200,8.359,5294
190.77321,-41.35891,8.374,3328
330.59009,-18.91650,8.374,2642
29.08016,73.28278,8.338,2935
191.04164,-41.74994,8.392,2594
186.53149,13.11279,8.475,236
21.50248,-1.34514,8.476,5468
349.72839,-42.23906,8.402,1512
224.69260,-19.26686,8.401,3350
171.93314,17.22410,8.479,1156
228.55595,-46.80920,8.268,522
133.89479,58.73441,8.332,883
204.98344,-31.64018,8.229,407
204.84782,-30.77407,8.386,4334
185.07399,75.37090,8.404,1757
306.27789,-24.80943,8.279,3205
191.93971,13.76272,7.953,1604
312.17746,-37.99743,8.384,2713
180.55077,62.13728,8.408,1209
212.01311,-33.31506,8.391,4462
130.90872,50.20554,8.389,3336
211.79720,55.00156,8.396,1904
257.60373,72.30438,8.374,1198
219.89645,-45.01900,8.267,2767
184.29126,7.19163,8.389,2410
220.04803,-0.28921,8.317,1899
206.32976,41.71236,8.434,2549
177.00423,-10.96206,8.344,1789
164.85846,-66.33280,8.428,1831
8.56449,-27.80360,8.506,1534
148.61916,-25.70345,8.317,2394
10.14592,-13.87280,8.379,1605
173.98877,70.53558,8.447,2696
17.48158,-45.93120,8.392,7191
349.50558,-4.65031,8.447,3539
109.15722,-62.34372,8.440,3321
61.26641,70.99652,8.513,1089
189.37729,9.55510,8.397,2273
132.29947,60.22112,8.441,1338
358.82928,5.91582,8.431,3808
145.80006,31.92879,8.424,1538
212.87242,-5.04362,8.454,2693
157.71584,-36.73697,8.398,3161
195.98743,-11.49658,8.405,3238
201.19003,-37.68221,8.431,1453
147.50327,-32.88282,8.457,2885
102.15536,-64.27332,8.424,3499
140.87587,-23.16143,8.429,2603
226.02922,1.21991,8.416,1630
323.93619,-63.90282,8.408,3080
46.37880,42.83542,8.427,2740
193.35808,-41.20284,8.454,4335
103.47482,-40.86261,8.447,1142
243.95898,-60.80305,8.389,3378
168.54575,48.31838,8.372,2105
187.33797,-23.16664,8.427,1741
21.14613,3.79241,8.364,2281
321.09171,-40.53773,8.440,5355
327.69427,-70.33414,8.463,3698
24.77722,-7.51260,8.428,2043
162.01817,-31.53337,8.456,2991
276.97348,-71.60987,8.417,3642
47.18517,65.66212,8.428,2473
185.77576,5.25041,8.473,1667
195.03378,27.97698,8.404,6446
208.22217,-28.48932,8.467,4713
352.18094,-41.33348,8.357,1504
67.66637,0.66168,8.489,3694
349.83810,-42.25684,8.388,1681
356.08807,9.93409,8.394,1710
216.63867,56.58264,8.459,1979
58.66220,-20.50245,8.469,1698
160.69394,-36.35268,8.437,3130
183.07185,13.20531,8.424,2273
185.66057,11.80088,8.455,1431
252.76140,-60.80869,8.464,3285
55.54806,-29.89351,8.308,1564
172.13052,58.56161,8.416,3064
278.65277,22.90966,8.470,4236
102.53611,60.84575,8.455,1840
53.32116,-13.66414,8.402,1965
86.69774,-16.78266,8.474,2142
280.46902,-63.86209,8.458,4504
157.30568,-44.12291,8.464,2935
55.62212,-13.48817,8.485,2119
254.76230,-60.21602,8.127,1144
319.58975,-63.76067,8.500,3144
36.82047,33.57888,7.846,553
137.86462,-14.81665,8.479,2017
158.78433,-43.69184,8.442,2891
27.82320,22.35797,8.457,3090
165.85577,18.13539,8.375,979
186.11812,75.52891,8.481,1677
74.49630,68.32352,8.444,890
15.84117,-6.33921,8.434,2347
