Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"MKW3s",230.52844999999996,7.607164444444443,12857,41,3.3,1
"MKW3s",230.5734083333333,7.66329361111111,13285,51,5.0,1
"MKW3s",230.6120333333333,7.661579999999999,12821,45,5.3,1
"MKW3s",230.59416666666664,7.732836666666666,50512,29,3.9,0
"MKW3s",230.64639999999997,7.727870555555555,13213,45,7.5,1
"MKW3s",230.70232916666663,7.727039166666666,16119,21,6.5,0
"MKW3s",230.71538749999996,7.749901944444443,32153,53,6.1,0
"MKW3s",230.26942916666664,7.5010233333333325,13045,26,9.6,1
"MKW3s",230.33260416666664,7.547721388888887,23012,61,5.1,0
"MKW3s",230.2815708333333,7.564373888888888,12738,59,4.0,1
"MKW3s",230.26405416666663,7.609758888888888,13380,28,9.4,1
"MKW3s",230.39954166666664,7.591504999999999,80197,25,5.4,0
"MKW3s",230.38844166666664,7.642255833333333,13713,28,9.4,1
"MKW3s",230.34895833333331,7.6782708333333325,11857,94,3.0,1
"MKW3s",230.24226249999998,7.632007222222221,58901,39,5.6,0
"MKW3s",230.2848458333333,7.656436944444444,58887,97,3.5,0
"MKW3s",230.26892499999997,7.680076944444443,38072,73,3.8,0
"MKW3s",230.31014999999996,7.708726388888888,53842,130,3.0,0
"MKW3s",230.30177499999996,7.710056666666666,12978,35,7.9,1
"MKW3s",230.32354166666664,7.739479166666666,14425,33,7.7,1
"MKW3s",230.2940208333333,7.732045277777777,29301,14,12.0,0
"MKW3s",230.48518749999997,7.673599444444443,13889,30,10.4,1
"MKW3s",230.45332916666663,7.6759483333333325,13234,35,7.3,1
"MKW3s",230.45213749999996,7.693216944444443,38388,74,3.8,0
"MKW3s",230.50437499999998,7.701978055555554,13083,48,7.5,1
"MKW3s",230.4660833333333,7.708885555555555,13291,34,9.4,1
"MKW3s",230.4029208333333,7.706906388888888,13106,74,3.2,1
"MKW3s",230.4016458333333,7.739142499999999,13230,34,10.7,1
"MKW3s",230.45661249999998,7.719963888888888,80081,66,4.7,0
"MKW3s",230.56304166666663,7.73774111111111,13546,58,5.8,1
"MKW3s",230.5410708333333,7.775358333333332,23413,32,10.8,0
"MKW3s",230.5464958333333,7.788320833333333,12577,29,10.4,1
"MKW3s",230.4849333333333,7.802317777777777,79685,68,5.5,0
"MKW3s",230.53891666666664,7.819118333333332,13830,29,9.7,1
"MKW3s",230.3870583333333,7.761142499999999,53704,48,4.6,0
"MKW3s",230.3745083333333,7.783642777777777,13610,25,10.9,1
"MKW3s",230.40034166666663,7.8142902777777765,37813,48,6.2,0
"MKW3s",230.38252499999996,7.814585277777777,13603,32,4.9,1
"MKW3s",230.4124083333333,7.825252222222221,63208,32,7.3,0
"MKW3s",230.4172458333333,7.876553055555554,22801,45,8.6,0
"MKW3s",230.4708833333333,7.892789722222221,22469,47,4.9,0
"MKW3s",230.44301249999998,7.891749166666665,22922,29,8.9,0
"MKW3s",230.4593083333333,7.92184361111111,28180,10,16.7,0
"MKW3s",230.3887208333333,7.887599999999999,32214,26,5.2,0
"MKW3s",230.61156249999996,7.81914111111111,10282,18,6.2,0
"MKW3s",230.68618749999996,7.83816111111111,13583,29,10.2,1
"MKW3s",230.6049083333333,7.872467222222221,12572,66,3.6,1
"MKW3s",230.5392458333333,7.89325611111111,32311,51,7.6,0
"MKW3s",230.52004166666663,7.917119999999999,22657,40,5.6,0
"MKW3s",230.59164166666665,7.928746388888888,64490,33,6.3,0
"MKW3s",230.3841083333333,7.992149999999999,63235,71,3.2,0
"A1983",223.4600458333333,16.43369333333333,53773,66,6.4,0
"A1983",223.22929999999997,16.43453222222222,44069,37,5.4,0
"A1983",223.37575416666664,16.466065277777776,13814,30,9.3,1
"A1983",223.2775208333333,16.512047777777777,44347,76,4.5,0
"A1983",223.3186333333333,16.545908888888885,13243,35,7.0,1
