plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
9092-3703,1-317471,9092,3703,239.965,25.9407,0.0446581,11.8254,0.547931,227.21,0.274738,0.87811,6,4.92037,4.32309,11.0392,11.414,4.08242e-10,4.36156,0.329906,0.154443,0.263499,4.08242e-10,3.61276,0.32167,0.14872,0.256309,1,1
9488-3704,1-412880,9488,3704,126.843,20.3115,0.10834,11.7799,0.507319,282.755,0.14828,0.831315,5.84639,2.49794,4.94373,11.2696,11.6622,5.30632e-10,5.66915,0.357286,0.178827,0.262924,5.30632e-10,4.69586,0.350641,0.174276,0.257476,1,1
8546-3703,1-92007,8546,3703,239.032,51.2529,0.0707039,11.7778,0.530949,177.727,0.0813093,0.897308,5.93262,2.93054,3.95326,10.9472,11.1618,3.94979e-10,4.21986,0.168389,-0.00665593,0.131403,3.94979e-10,3.49539,0.159933,-0.0125439,0.123559,1,1
8948-1902,1-173903,8948,1902,166.312,49.6589,0.116572,11.7666,0.494851,248.147,0.190553,0.965509,6,2.12159,4.47577,11.2877,11.5056,6.74833e-10,7.20975,0.189739,0.00900129,0.110223,6.74833e-10,5.97197,0.184325,0.00533576,0.105656,1,1
8313-3702,1-248328,8313,3702,239.857,42.2635,0.0605869,11.7609,0.677601,227.952,0.264773,0.919873,6,4.1604,4.86665,11.2084,11.4682,4.75524e-10,5.08038,0.220857,0.0435824,0.153296,4.75524e-10,4.20818,0.213578,0.0385693,0.146971,1,1
7975-3703,1-114532,7975,3703,325.161,11.7227,0.0902261,11.7392,0.371889,185.98,0.32339,0.920698,4.71661,2.77167,4.66433,11.1514,11.273,4.54058e-10,4.85105,0.0809195,-0.095827,0.0380766,4.54058e-10,4.01822,0.0733605,-0.101047,0.031157,1,1
8951-3701,1-456539,8951,3701,194.142,27.539,0.0236565,11.7303,0.915393,153.24,0.52842,0.884009,6,3.87312,1.84852,10.3763,10.7029,4.85245e-10,5.18424,0.288247,0.110747,0.268515,4.85245e-10,4.2942,0.281089,0.105822,0.261644,0,1
11867-6101,1-53885,11867,6101,138.018,0.421798,0.0546546,11.7278,0.498367,191.614,0.577531,0.711809,6,3.01166,3.20026,10.6276,11.1354,2.88717e-10,3.08459,0.446807,0.27621,0.402183,2.88717e-10,2.55502,0.436059,0.268561,0.392331,0,1
8548-6101,1-93233,8548,6101,245.309,46.2859,0.0579378,11.7277,0.504355,163.816,0.318069,0.719741,4.13525,3.48033,3.90529,10.7768,11.0857,2.73406e-10,2.92101,0.244906,0.0751726,0.218526,2.73406e-10,2.41953,0.233721,0.0671793,0.207895,1,1
11872-1901,1-150472,11872,1901,179.19,52.5071,0.0522782,11.7219,0.780551,203.546,0.0945806,0.923504,6,4.53095,4.61831,11.1425,11.3471,4.53691e-10,4.84713,0.16394,-0.0127967,0.11025,4.53691e-10,4.01497,0.156376,-0.0180202,0.10348,1,1
11980-6101,1-273282,11980,6101,253.651,24.0636,0.0354166,11.6985,0.703934,206.368,0.490347,0.857923,4.20694,5.31381,3.74364,10.9407,11.2679,4.33907e-10,4.63575,0.284767,0.108557,0.229604,4.33907e-10,3.83988,0.276925,0.103127,0.222602,0,1
7958-6102,1-547018,7958,6102,257.574,34.2408,0.0849445,11.6938,0.601877,209.693,0.370344,0.592286,6,3.50702,5.59039,11.1443,11.4559,3.10934e-10,3.32194,0.254506,0.0827773,0.199033,3.10934e-10,2.75162,0.244335,0.0755785,0.189917,1,1
