name,z,sigma,sigma_err,logMstar,logMstar_err,kinematic_type,source_arXiv,construction
CRISTAL-03,5.689,123.13,9.07,10.4,0.29,rotation,2507.11600,"sigma0=77.8 (+/-14.35), V=165.3: sigma_eff=sqrt(sigma0^2+V^2/3)"
DEIMOS_COSMOS_351640,5.7058,56.1,5.5,9.673,0.144,dispersion,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_722679,5.7168,140.6,9.8,8.396,0.183,unclear,2002.00962,integrated width (rotation included)
vuds_cosmos_5101288969,5.7209,126.5,7.6,9.562,0.14,unclear,2002.00962,integrated width (rotation included)
JADES-NS-00022251,5.79912,41.13,0.95,8.21,0.05,dispersion,2308.09742,"sigma0=39 (+/-1), V=22.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-201125,5.82,149.81,13.16,9.96,0.13,dispersion,2503.21863,"sigma0=136 (+/-14.5), V=108.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
DEIMOS_COSMOS_843045,5.8473,67.1,5.9,9.961,0.129,merger,2002.00962,integrated width (rotation included)
JADES-NS-00019606,5.88979,39.21,1.79,7.54,0.04,dispersion,2308.09742,"sigma0=39.1 (+/-1.8), V=5.1: sigma_eff=sqrt(sigma0^2+V^2/3)"
J1211,6.019,103.78,5.59,10.47,0.3,rotation,2304.00036,"sigma0=58 (+/-10), V=149.1: sigma_eff=sqrt(sigma0^2+V^2/3)"
J1211,6.029,111.26,10.19,10.47,0.3,rotation,2304.00036,"sigma0=54 (+/-21), V=168.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
RXCJ0600-z6 (Cosmic Grapes),6.072,65.4,0.4,8.653,0.163,rotation,2402.18543,integrated width (rotation included)
J0235,6.076,145.44,37.38,10.47,0.3,rotation,2304.00036,"sigma0=72 (+/-75.5), V=218.9: sigma_eff=sqrt(sigma0^2+V^2/3)"
J0235,6.09,190.28,39.4,10.47,0.3,rotation,2304.00036,"sigma0=126 (+/-59.5), V=247.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
MACS0416 z6.14 LAE D1 (total),6.1439,27.9,2.5,7.394,0.062,unclear,2407.20331,integrated width (rotation included)
CLM1,6.153,120.1,5.25,10.11,0.3,rotation,2304.00036,"sigma0=42 (+/-15), V=194.9: sigma_eff=sqrt(sigma0^2+V^2/3)"
VR7,6.517,122.94,6.95,10.23,0.3,rotation,2304.00036,"sigma0=57 (+/-15), V=188.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Z-349,6.564,90.04,14.54,9.79,1.005,rotation,2304.00036,"sigma0=77 (+/-17), V=80.9: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Z-004,6.669,105.8,7.52,9.83,0.19,rotation,2304.00036,"sigma0=37 (+/-21.5), V=171.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Z-049,6.716,108.96,18.25,9.76,0.36,rotation,2304.00036,"sigma0=51 (+/-39), V=166.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
UVISTA-Z-019,6.74,120.21,8.22,9.51,0.185,rotation,2304.00036,"sigma0=52 (+/-19), V=187.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
COS-29,6.794,54.76,7.77,9.23,0.355,rotation,2304.00036,"sigma0=37 (+/-11.5), V=69.9: sigma_eff=sqrt(sigma0^2+V^2/3)"
