Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
37,CHEMBL457,GEMFIBROZIL,250.3,Coronary Disease; Tobacco Use Disorder; Anemia,0.5426,0.8005,0.3389,0.434,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
38,CHEMBL29,PENICILLIN G,334.4,Osteomyelitis; Rheumatic Heart Disease; Syphilis,0.5398,0.63,0.4773,0.4842,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
39,CHEMBL420,GUANABENZ,231.1,"Multiple Sclerosis, Relapsing-Remitting; Multiple Sclerosis",0.5378,0.6971,0.4191,0.4568,N=C(N)N/N=C/c1c(Cl)cccc1Cl
40,CHEMBL439,SULFADIAZINE,250.3,"Osteomyelitis; Toxoplasmosis, Cerebral; Toxoplasmosis, Congenital",0.531,0.634,0.4561,0.4749,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
41,CHEMBL12,DIAZEPAM,284.8,Epilepsy; Seizures; Anxiety,0.5309,0.4647,0.5691,0.5871,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
42,CHEMBL443,SULFAMETHOXAZOLE,253.3,Infections; Neoplasms; Idiopathic Pulmonary Fibrosis,0.5126,0.5933,0.4457,0.4851,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
43,CHEMBL6437,MIANSERIN,264.4,Anxiety; Dementia; Depressive Disorder,0.5091,0.4891,0.5061,0.5551,CN1CCN2c3ccccc3Cc3ccccc3C2C1
44,CHEMBL406,INDAPAMIDE,365.8,Hypertension; Cardiovascular Diseases; Heart Failure,0.4953,0.8664,0.1689,0.4057,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
45,CHEMBL415,CLOMIPRAMINE,314.9,Obsessive-Compulsive Disorder; Anxiety; Dementia,0.489,0.4646,0.4809,0.5541,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
46,CHEMBL451,CHLORDIAZEPOXIDE,299.8,"Anxiety; Substance Withdrawal Syndrome; Depressive Disorder, Major",0.4879,0.4659,0.4664,0.5746,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
47,CHEMBL456,ETHACRYNIC ACID,303.1,Cardiovascular Diseases; Urinary Bladder Neoplasms; Heart Failure,0.4855,0.6289,0.3505,0.4688,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
48,CHEMBL453,SULFISOXAZOLE,267.3,Osteomyelitis; Bacterial Infections; Eye Infections,0.4837,0.7324,0.2596,0.4344,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
49,CHEMBL438,SULFAMERAZINE,264.3,Bacterial Infections,0.4766,0.7198,0.2538,0.4356,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
50,CHEMBL11,IMIPRAMINE,280.4,Gastroesophageal Reflux; Anxiety; Dementia,0.4756,0.4961,0.4282,0.5294,CN(C)CCCN1c2ccccc2CCc2ccccc21
51,CHEMBL437,SULFATHIAZOLE,255.3,Bacterial Infections,0.4745,0.789,0.1958,0.403,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
52,CHEMBL460,MOLINDONE,276.4,Psychotic Disorders; Attention Deficit Disorder with Hyperactivity,0.4726,0.7578,0.2111,0.4253,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
53,CHEMBL440,THIAMYLAL,254.3,Unknown,0.4715,0.424,0.4584,0.5926,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
