08 27 11.95 +46 37 32.63 38408  06 1 2
08 27 15.67 +46 35 27.71 38719  08 1 1
08 27 18.31 +46 35 10.93 37434  05 1 1
08 27 18.84 +48 38 51.68 37892  02 1 1
08 27 19.10 +46 44 01.07 37777  39 1 2
08 27 22.68 +43 51 47.38 43674  09 1 1
08 27 27.88 +46 59 30.66 37504  48 1 1
08 27 28.87 +44 49 10.38 43104  51 1 1
08 27 31.00 +47 13 12.86 38661  51 1 1
08 27 32.12 +44 18 42.98 43800  42 1 1
08 27 32.96 +47 30 26.86 38065  45 1 2
08 27 34.16 +46 35 22.60 37985  08 1 2
08 27 39.39 +45 04 42.85 43410  45 1 1
08 27 39.78 +44 53 14.21 42936  42 1 1
08 27 43.39 +44 46 08.76 42687  45 1 1
08 27 44.56 +44 48 07.52 42789  48 1 1
08 27 47.13 +46 30 40.25 38262  08 1 2
08 27 52.00 +47 07 38.32 38274  42 1 2
08 27 56.56 +47 56 54.74 38598  04 1 2
08 28 02.68 +45 02 27.31 42906  51 1 1
08 28 03.64 +44 40 34.46 43509  42 1 1
08 28 05.58 +44 46 02.28 43994  60 1 1
08 28 05.88 +44 46 00.26 43446  60 1 1
08 28 06.75 +44 01 45.73 43901  07 1 1
08 28 11.97 +44 51 15.77 43533 321 1 1
08 28 12.29 +44 48 20.16 43638  42 1 1
08 28 14.79 +47 31 56.82 37663  04 1 1
08 28 18.11 +45 01 32.77 42879  45 1 1
08 28 19.47 +44 37 19.74 43956  45 1 1
08 28 21.09 +47 36 14.69 38011  04 1 2
08 28 26.30 +46 57 04.00 37837  08 1 2
08 28 27.24 +46 13 34.18 38325  05 1 2
08 28 27.98 +46 37 57.72 38245  02 1 2
08 28 36.37 +44 45 40.10 43521  42 1 1
08 28 36.39 +44 53 37.50 42804  39 1 1
08 28 38.34 +44 47 24.07 43764  45 1 1
08 28 44.04 +44 40 21.90 42783  42 1 1
08 28 46.09 +46 47 01.64 38141  04 1 2
08 28 47.66 +47 18 10.26 37896  06 1 2
08 28 52.66 +45 08 31.74 43632  45 1 1
