muse_id z r_kpc incl PA Mstar eMstar SFR eSFR
1346 0.6636168 2.6941634937759167 52.84772515973276 12.5600004196167 8.237 0.095 -0.663 0.665
1354 0.7181629 0.9772254119951249 40.899288580848925 -24.690000534057617 8.087 0.085 -0.303 0.44
1357 0.38285485 1.5270339931220558 44.60373650231029 -85.08999633789062 7.332 0.085 -1.253 0.3
1371 "" 0.0 49.19437970442268 -35.31999969482422 "" "" "" ""
1375 1.2457054 1.0401919485076154 40.899288580848925 -66.93000030517578 9.062 0.0 -0.273 0.045
1390 1.3411896 3.0578655538149926 74.59928154562773 11.649999618530273 9.132 0.075 -0.238 0.07
1407 1.0364339 1.0920199562527522 62.002337880731346 3.059999942779541 8.772 0.16 -0.583 0.415
1408 0.7381872 1.215378658028545 33.36525772182935 88.66000366210938 7.957 0.155 -0.138 0.15
1416 0.66514283 1.311937458258216 53.759952677878935 79.87999725341797 8.142 0.055 -1.288 0.19
1418 0.53296536 1.9729778691734592 51.93525905510012 -34.90999984741211 8.172 0.03 -1.453 0.75
1427 0.7666654 0.924242023592697 90.0 -5.489999771118164 8.072 0.085 -0.828 0.7
1436 1.3062428 1.3072432990749945 68.58280707852482 9.119999885559082 9.082 0.045 -0.318 0.085
1452 1.135342 0.8549858377511609 51.93525905510012 76.2300033569336 8.737 0.0 -0.558 0.0
1462 0.41904458 2.016293811521545 41.828669233991945 33.189998626708984 7.707 0.19 -1.103 0.455
1463 1.381798 1.5763967447362 58.32590431138751 -11.390000343322754 8.782 0.045 -0.303 0.045
1493 0.7371552 -7584.5466804923535 90.0 -999.0 7.557 0.12 -0.878 0.5
1495 0.90438145 2.2735575755565365 62.9279310768458 -1.9600000381469727 8.162 0.08 -0.758 0.0
1496 1.4380801 1.9315520721810044 63.85713806515504 -27.719999313354492 9.102 0.075 -0.313 0.045
1499 1.0334361 1.6789758407867783 38.096085045119274 87.16000366210938 8.622 0.08 -0.688 0.13
1507 0.69481456 0.6678034313102217 73.55244109634398 27.780000686645508 7.817 0.155 -0.503 0.355
1545 0.99212974 0.4158674607574275 90.0 35.959999084472656 8.372 0.06 -0.763 0.095
1561 0.73266226 0.9847113772130436 60.15983908650999 21.270000457763672 7.537 0.13 -0.653 0.16
1563 1.0212708 0.9210293726846858 55.58460230410626 88.36000061035156 8.617 0.04 -0.833 0.06
1565 0.62441283 1.0638334303115986 50.10877898330662 -32.150001525878906 7.672 0.07 -1.398 0.38
1587 1.426145 2.5449711485000184 37.156182814207504 -32.09000015258789 8.947 0.115 -0.428 0.06
1597 1.2150519 0.8639947570318104 90.0 34.81999969482422 8.392 0.335 -0.563 0.03
1605 1.0956206 0.9344701156764816 42.75577060143398 -56.060001373291016 8.562 0.0 -0.733 0.0
1700 0.99107206 0.7483717658859279 90.0 32.189998626708984 8.212 0.055 -0.878 0.105
1846 0.8570126 0.6393897931437235 40.899288580848925 66.2699966430664 8.122 0.18 -1.288 0.03
1904 0.42343602 0.3477843141111913 62.002337880731346 8.989999771118164 6.987 0.085 -1.468 0.25
2108 0.62052345 0.28289869300565107 90.0 51.5099983215332 7.072 0.06 -1.153 0.16
2260 0.6244796 "" 90.0 "" 6.487 0.145 -1.558 0.055
2478 0.7339901 "" 90.0 "" 7.097 0.375 -1.063 0.12
2532 0.7524198 "" 90.0 "" 7.377 0.195 -1.578 0.69
6314 "" 0.0 35.26726679699608 29.459999084472656 "" "" "" ""
6411 "" "" 90.0 "" "" "" "" ""
6450 "" "" 90.0 "" "" "" "" ""
6465 "" "" 90.0 "" "" "" "" ""
6466 "" "" 90.0 "" "" "" "" ""
6530 "" "" 90.0 "" "" "" "" ""
6865 "" "" 90.0 "" "" "" "" ""
6866 "" 0.0 48.278962954227964 -56.83000183105469 "" "" "" ""
