pdb_id,h1_death_radius
2RH1,8.511873245239258
2RH1,7.383405685424805
2RH1,5.848183631896973
2RH1,6.773393154144287
2RH1,5.940376281738281
2RH1,6.878507137298584
2RH1,6.6460280418396
2RH1,6.673468112945557
2RH1,5.7777581214904785
2RH1,8.937601089477539
2RH1,5.679620265960693
2RH1,5.690239906311035
2RH1,9.106415748596191
2RH1,5.685171127319336
2RH1,5.809279918670654
2RH1,9.03292465209961
2RH1,9.239594459533691
2RH1,5.639430522918701
2RH1,5.790810585021973
2RH1,5.819484710693359
2RH1,6.2558770179748535
2RH1,5.601230144500732
2RH1,5.683502674102783
2RH1,5.532190799713135
2RH1,5.5383524894714355
2RH1,5.537554740905762
2RH1,5.568507194519043
2RH1,5.500654220581055
2RH1,5.431668281555176
2RH1,5.487187385559082
2RH1,5.550069808959961
2RH1,5.870469093322754
2RH1,7.2776923179626465
2RH1,5.423416614532471
2RH1,5.465053081512451
2RH1,5.410741329193115
2RH1,5.911862373352051
2RH1,5.638072490692139
2RH1,5.477324485778809
2RH1,5.621488094329834
2RH1,5.569967746734619
2RH1,5.548785209655762
2RH1,5.655272006988525
2RH1,5.376858711242676
2RH1,5.520853519439697
2RH1,5.5716094970703125
2RH1,6.5322065353393555
2RH1,5.491110801696777
2RH1,5.4202165603637695
2RH1,6.7615885734558105
2RH1,5.431000232696533
2RH1,5.514172077178955
2RH1,6.741978168487549
2RH1,5.354673862457275
2RH1,5.331569194793701
2RH1,5.601887226104736
2RH1,5.393486022949219
2RH1,5.472943305969238
2RH1,5.459405422210693
2RH1,5.526524066925049
2RH1,5.397189140319824
2RH1,5.488950252532959
2RH1,5.378681182861328
2RH1,5.3961591720581055
2RH1,5.613943099975586
2RH1,5.635233402252197
2RH1,5.457887649536133
2RH1,5.8012495040893555
2RH1,5.396830081939697
2RH1,6.838304042816162
2RH1,5.950704097747803
2RH1,5.782320976257324
2RH1,6.863058090209961
2RH1,5.563997268676758
2RH1,5.947750568389893
2RH1,5.4182915687561035
2RH1,5.387566089630127
2RH1,5.5967302322387695
2RH1,5.573502540588379
2RH1,5.595853328704834
2RH1,5.535349369049072
2RH1,5.4325079917907715
2RH1,5.422336101531982
2RH1,5.550069808959961
2RH1,5.544311046600342
2RH1,5.535349369049072
2RH1,5.466373920440674
2RH1,5.422118186950684
2RH1,5.4482550621032715
2RH1,5.397189140319824
2RH1,5.334959983825684
2RH1,5.420642375946045
2RH1,5.398133277893066
2RH1,5.509822368621826
2RH1,5.566593647003174
2RH1,5.347420692443848
2RH1,5.364126205444336
2RH1,5.403067111968994
2RH1,5.4482550621032715
2RH1,5.493082523345947
2RH1,5.251277923583984
2RH1,5.4287614822387695
2RH1,5.481009483337402
2RH1,5.3657989501953125
2RH1,5.5187907218933105
2RH1,7.018447399139404
2RH1,5.472943305969238
2RH1,5.411531925201416
2RH1,5.496537685394287
2RH1,5.52230167388916
2RH1,5.500654220581055
2RH1,5.487187385559082
2RH1,5.379946708679199
2RH1,5.532833576202393
2RH1,5.320164680480957
2RH1,5.389494895935059
2RH1,5.5187907218933105
2RH1,5.381412506103516
2RH1,5.547724723815918
2RH1,5.271674633026123
2RH1,5.557858467102051
2RH1,5.25757360458374
2RH1,5.418783664703369
2RH1,5.573307991027832
2RH1,5.463163375854492
2RH1,5.6495466232299805
2RH1,5.342512130737305
2RH1,5.352606296539307
2RH1,5.397181510925293
2RH1,5.4621195793151855
2RH1,5.363232135772705
2RH1,8.061650276184082
2RH1,5.427183151245117
2RH1,5.436747074127197
2RH1,5.431000232696533
2RH1,5.329963684082031
2RH1,5.246484756469727
2RH1,5.336608409881592
2RH1,5.390108108520508
2RH1,5.442652702331543
2RH1,5.403265953063965
2RH1,5.438272953033447
2RH1,5.409763813018799
2RH1,5.3956122398376465
2RH1,5.357926845550537
2RH1,5.381412506103516
2RH1,5.267879486083984
2RH1,5.261946201324463
2RH1,5.535680294036865
2RH1,5.398573398590088
2RH1,7.4099907875061035
2RH1,5.435268402099609
2RH1,5.366878032684326
2RH1,5.2808613777160645
2RH1,5.610940456390381
2RH1,5.457921981811523
2RH1,5.385013580322266
2RH1,5.446403503417969
2RH1,5.335834503173828
2RH1,5.313325881958008
2RH1,5.387147903442383
2RH1,5.387975215911865
2RH1,5.447319030761719
2RH1,5.46386194229126
2RH1,5.335834503173828
2RH1,5.409763813018799
2RH1,5.366621494293213
2RH1,5.366621494293213
2RH1,5.2808613777160645
2RH1,5.396830081939697
2RH1,5.3961591720581055
2RH1,5.446057319641113
2RH1,5.390963077545166
2RH1,5.323140621185303
2RH1,5.246484756469727
2RH1,5.4621195793151855
2RH1,5.5142130851745605
2RH1,5.5021748542785645
2RH1,5.444733619689941
2RH1,5.396174430847168
2RH1,5.442615032196045
